Vertex: node:103456, Triagle Count: 3
Vertex: node:31936, Triagle Count: 1
Vertex: node:492, Triagle Count: 25
Vertex: node:71727, Triagle Count: 1
Vertex: node:104654, Triagle Count: 108
Vertex: node:5233, Triagle Count: 292
Vertex: node:7894, Triagle Count: 75
Vertex: node:126466, Triagle Count: 146
Vertex: node:27348, Triagle Count: 34
Vertex: node:82770, Triagle Count: 3
Vertex: node:4161, Triagle Count: 1
Vertex: node:92208, Triagle Count: 1
Vertex: node:79382, Triagle Count: 1
Vertex: node:30738, Triagle Count: 7
Vertex: node:127664, Triagle Count: 1
Vertex: node:125269, Triagle Count: 1
Vertex: node:28546, Triagle Count: 1
Vertex: node:125136, Triagle Count: 22
Vertex: node:31802, Triagle Count: 630
Vertex: node:120106, Triagle Count: 13
Vertex: node:103324, Triagle Count: 561
Vertex: node:103457, Triagle Count: 6
Vertex: node:27349, Triagle Count: 10
Vertex: node:123836, Triagle Count: 3
Vertex: node:30735, Triagle Count: 1
Vertex: node:33364, Triagle Count: 253
Vertex: node:55043, Triagle Count: 3
Vertex: node:79385, Triagle Count: 2
Vertex: node:80374, Triagle Count: 1
Vertex: node:103321, Triagle Count: 18
Vertex: node:103454, Triagle Count: 1
Vertex: node:105851, Triagle Count: 104
Vertex: node:103587, Triagle Count: 10
Vertex: node:28547, Triagle Count: 3
Vertex: node:125399, Triagle Count: 13
Vertex: node:32298, Triagle Count: 221
Vertex: node:56241, Triagle Count: 81
Vertex: node:77821, Triagle Count: 1
Vertex: node:104652, Triagle Count: 196
Vertex: node:55177, Triagle Count: 1
Vertex: node:31099, Triagle Count: 15
Vertex: node:122637, Triagle Count: 21
Vertex: node:123968, Triagle Count: 112
Vertex: node:30736, Triagle Count: 1
Vertex: node:74225, Triagle Count: 3
Vertex: node:74226, Triagle Count: 1
Vertex: node:74359, Triagle Count: 3
Vertex: node:131391, Triagle Count: 744
Vertex: node:127662, Triagle Count: 1
Vertex: node:103455, Triagle Count: 55
Vertex: node:54946, Triagle Count: 36
Vertex: node:123701, Triagle Count: 6
Vertex: node:127795, Triagle Count: 45
Vertex: node:26149, Triagle Count: 171
Vertex: node:6695, Triagle Count: 5
Vertex: node:4296, Triagle Count: 1
Vertex: node:123834, Triagle Count: 701
Vertex: node:101189, Triagle Count: 479
Vertex: node:28415, Triagle Count: 95
Vertex: node:125267, Triagle Count: 542
Vertex: node:31800, Triagle Count: 278
Vertex: node:100958, Triagle Count: 2849
Vertex: node:108482, Triagle Count: 173
Vertex: node:1662, Triagle Count: 112
Vertex: node:27218, Triagle Count: 69
Vertex: node:55045, Triagle Count: 1
Vertex: node:31098, Triagle Count: 1
Vertex: node:4291, Triagle Count: 1
Vertex: node:123838, Triagle Count: 65
Vertex: node:30733, Triagle Count: 4
Vertex: node:104526, Triagle Count: 210
